Codigodo fundo,Setor,Preco Atual,Liquidez Diaria,Dividendo,DividendYield,DY (3M)Acumulado,DY (6M)Acumulado,DY (12M)Acumulado,DY (3M)Media,DY (6M)Media,DY (12M)Media,DY Ano,Variacao Preco,Rentab.Periodo,Rentab.Acumulada,PatrimonioLiq.,VPA,P/VPA,DYPatrimonial,VariacaoPatrimonial,Rentab. Patr.no Periodo,Rentab. Patr.Acumulada,VacanciaFisica,VacanciaFinanceira,QuantidadeAtivos
ARRI11,Titulos e Val. Mob.,"R$ 107,00",1247.0,"R$ 1,15","1,15%","3,50%","6,12%","9,48%","1,17%","1,02%","0,79%","3,50%","-1,18%","-0,04%","8,77%","R$ 37.842.289,81","R$ 96,44","1,11",N/A,N/A,N/A,N/A,N/A,N/A,0
SHPH11,Shoppings,"R$ 821,01",2971.0,"R$ 1,63","0,20%","1,03%","2,27%","3,11%","0,34%","0,38%","0,26%","1,03%","-2,50%","-2,31%","-0,57%","R$ 499.660.320,46","R$ 820,53","1,00",N/A,N/A,N/A,N/A,"10,90%",N/A,1
LASC11,Shoppings,"R$ 92,02",7.0,"R$ 0,48","0,50%","1,56%","2,94%","0,00%","0,52%","0,49%","0,00%","1,56%","-0,62%","-0,12%","-2,13%","R$ 259.395.088,16","R$ 103,01","0,89",N/A,N/A,N/A,N/A,"3,50%",N/A,3
BARI11,Titulos e Val. Mob.,"R$ 108,66",16044.0,"R$ 1,10","0,97%","4,16%","7,94%","12,30%","1,39%","1,32%","1,02%","4,16%","-0,61%","0,35%","3,40%","R$ 470.320.207,07","R$ 101,49","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
HGRU11,Hibrido,"R$ 123,00",57110.0,"R$ 0,68","0,55%","1,61%","3,24%","6,53%","0,54%","0,54%","0,54%","1,61%","-3,21%","-2,68%","-2,17%","R$ 2.167.663.009,67","R$ 117,77","1,04",N/A,N/A,N/A,N/A,"0,00%","0,00%",16
HGLG11,Logistica,"R$ 171,91",32432.0,"R$ 0,78","0,44%","1,31%","3,71%","6,21%","0,44%","0,62%","0,52%","1,31%","-1,68%","-1,25%","-0,75%","R$ 2.709.068.264,88","R$ 146,94","1,17",N/A,N/A,N/A,N/A,"15,20%","6,50%",17
HGPO11,Lajes Corporativas,"R$ 220,11",1259.0,"R$ 1,01","0,45%","1,33%","2,61%","5,23%","0,44%","0,44%","0,44%","1,33%","-2,45%","-2,00%","-2,43%","R$ 401.912.421,14","R$ 243,58","0,90",N/A,N/A,N/A,N/A,"1,73%","1,72%",2
SADI11,Titulos e Val. Mob.,"R$ 84,20",3457.0,"R$ 0,19","0,23%","0,74%","1,36%","3,13%","0,25%","0,23%","0,26%","0,74%","5,16%","5,41%","6,87%","R$ 319.481.216,39","R$ 100,46","0,84",N/A,N/A,N/A,N/A,N/A,N/A,0
HSLG11,Logistica,"R$ 107,20",4248.0,"R$ 0,58","0,52%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,55%","-1,69%","-1,18%","-1,10%","R$ 1.333.583.813,25","R$ 105,34","1,02",N/A,N/A,N/A,N/A,"4,60%",N/A,5
RBCO11,Lajes Corporativas,"R$ 60,74",3950.0,"R$ 0,42","0,61%","1,93%","3,80%","6,73%","0,64%","0,63%","0,56%","1,93%","-10,22%","-9,67%","-17,54%","R$ 385.537.348,53","R$ 102,02","0,60",N/A,N/A,N/A,N/A,"32,00%","14,00%",4
IFIE11,Titulos e Val. Mob.,"R$ 97,44",558.0,"R$ 0,45","0,45%","1,33%","0,00%","0,00%","0,44%","0,00%","0,00%","1,33%","-0,77%","-0,32%","6,85%","R$ 80.938.474,29","R$ 89,88","1,08",N/A,N/A,N/A,N/A,N/A,N/A,0
LUGG11,Residencial,"R$ 95,51",234.0,"R$ 0,49","0,51%","1,47%","2,80%","5,53%","0,49%","0,47%","0,46%","1,47%","-4,21%","-3,72%","-2,79%","R$ 98.595.794,26","R$ 109,55","0,87",N/A,N/A,N/A,N/A,"2,70%",N/A,4
KNRE11,Residencial,"R$ 2,93",8367.0,"R$ 0,00",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 46.559.526,38","R$ 2,51","1,17",N/A,N/A,N/A,N/A,N/A,N/A,0
CXTL11,Logistica,"R$ 305,00",24.0,"R$ 2,73",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"R$ 33.983.424,56","R$ 634,05","0,48",N/A,N/A,N/A,N/A,"68,10%","71,10%",4
LVBI11,Logistica,"R$ 107,89",35556.0,"R$ 0,52","0,46%","1,30%","2,26%","5,38%","0,43%","0,38%","0,45%","0,85%","-3,39%","-2,95%","-2,56%","R$ 1.298.801.100,70","R$ 110,30","0,98",N/A,N/A,N/A,N/A,"3,30%",N/A,8
PVBI11,Lajes Corporativas,"R$ 95,81",19928.0,"R$ 0,50","0,52%","1,54%","3,00%","0,00%","0,51%","0,50%","0,00%","1,03%","-1,20%","-0,69%","-0,18%","R$ 937.390.900,16","R$ 96,44","0,99",N/A,N/A,N/A,N/A,"0,00%","0,00%",2
MALL11,Shoppings,"R$ 97,99",19721.0,"R$ 0,45","0,47%","1,66%","3,39%","4,71%","0,55%","0,57%","0,39%","1,66%","-5,11%","-4,67%","-8,20%","R$ 794.035.289,87","R$ 105,03","0,93",N/A,N/A,N/A,N/A,"3,00%",N/A,7
XPCI11,Outros,"R$ 98,94",35620.0,"R$ 0,90","0,94%","2,65%","4,86%","8,80%","0,88%","0,81%","0,73%","2,65%","0,63%","1,57%","1,93%","R$ 637.443.437,06","R$ 97,07","1,02",N/A,N/A,N/A,N/A,N/A,N/A,0
VRTA11,Titulos e Val. Mob.,"R$ 115,37",18590.0,"R$ 0,90","0,78%","2,35%","4,46%","8,24%","0,78%","0,74%","0,69%","2,35%","-0,36%","0,42%","1,63%","R$ 1.002.329.166,68","R$ 100,23","1,15",N/A,N/A,N/A,N/A,N/A,N/A,0
OUJP11,Titulos e Val. Mob.,"R$ 102,97",14879.0,"R$ 0,65","0,61%","2,00%","4,31%","7,47%","0,67%","0,72%","0,62%","2,00%","5,00%","5,63%","1,03%","R$ 284.435.065,39","R$ 103,77","0,99",N/A,N/A,N/A,N/A,N/A,N/A,0
HFOF11,Titulos e Val. Mob.,"R$ 100,00",16679.0,"R$ 0,56","0,56%","1,62%","3,39%","7,26%","0,54%","0,57%","0,61%","1,62%","-2,57%","-2,03%","-1,81%","R$ 2.077.612.502,78","R$ 96,42","1,04",N/A,N/A,N/A,N/A,N/A,N/A,0
RBRS11,"","R$ 71,80",1665.0,"R$ 0,40","0,50%","0,00%","0,00%","0,00%","0,00%","0,00%","0,00%","1,37%","-11,06%","-10,62%","-12,84%","R$ 101.072.387,59","R$ 96,75","0,74",N/A,N/A,N/A,N/A,N/A,N/A,0
VISC11,Shoppings,"R$ 107,74",22987.0,"R$ 0,18","0,16%","1,16%","2,37%","3,55%","0,39%","0,39%","0,30%","1,16%","-3,64%","-3,48%","-4,44%","R$ 1.706.699.631,90","R$ 119,59","0,90",N/A,N/A,N/A,N/A,"7,90%",N/A,15
KNHY11,Titulos e Val. Mob.,"R$ 113,00",25962.0,"R$ 1,12","0,98%","3,34%","6,09%","8,72%","1,11%","1,01%","0,73%","3,34%","-1,92%","-0,97%","5,22%","R$ 1.090.085.608,03","R$ 101,96","1,11",N/A,N/A,N/A,N/A,N/A,N/A,0
HLOG11,Logistica,"R$ 115,75",2280.0,"R$ 0,63","0,54%","1,60%","3,30%","6,37%","0,53%","0,55%","0,53%","1,60%","-1,19%","-0,66%","-0,17%","R$ 509.246.269,02","R$ 119,82","0,97",N/A,N/A,N/A,N/A,"17,00%",N/A,3
KNIP11,Titulos e Val. Mob.,"R$ 114,10",112845.0,"R$ 1,02","0,88%","3,03%","5,78%","9,17%","1,01%","0,96%","0,76%","3,03%","-0,02%","0,86%","5,05%","R$ 4.801.881.923,30","R$ 101,88","1,12",N/A,N/A,N/A,N/A,N/A,N/A,0
HPDP11,Shoppings,"R$ 82,00",326.0,"R$ 0,03","0,04%","0,63%","1,76%","2,89%","0,21%","0,29%","0,24%","0,63%","-5,17%","-5,13%","-3,02%","R$ 293.505.622,22","R$ 100,90","0,81",N/A,N/A,N/A,N/A,"3,40%",N/A,1
KNCR11,Titulos e Val. Mob.,"R$ 93,68",38392.0,"R$ 0,33","0,35%","0,95%","2,05%","3,99%","0,32%","0,34%","0,33%","0,95%","4,60%","4,97%","6,29%","R$ 3.845.645.753,25","R$ 98,36","0,95",N/A,N/A,N/A,N/A,N/A,N/A,0
HREC11,Titulos e Val. Mob.,"R$ 104,13",9.0,"R$ 0,80","0,77%","1,50%","0,00%","0,00%","0,50%","0,00%","0,00%","1,50%","0,73%","1,50%","2,24%","R$ 87.571.342,35","R$ 97,09","1,07",N/A,N/A,N/A,N/A,N/A,N/A,0
VINO11,Lajes Corporativas,"R$ 60,80",38172.0,"R$ 0,45","0,73%","2,16%","3,99%","7,88%","0,72%","0,67%","0,66%","2,16%","-0,34%","0,39%","-1,03%","R$ 764.666.376,16","R$ 60,33","1,01",N/A,N/A,N/A,N/A,"3,70%",N/A,9
ABCP11,Shoppings,"R$ 74,56",966.0,"R$ 0,05","0,06%","1,30%","2,69%","3,96%","0,43%","0,45%","0,33%","1,30%","1,82%","1,88%","1,90%","R$ 1.077.720.548,83","R$ 88,31","0,84",N/A,N/A,N/A,N/A,"3,90%",N/A,1
PQAG11,Logistica,"R$ 64,00",5295.0,"R$ 0,36","0,53%","1,53%","0,00%","0,00%","0,51%","0,00%","0,00%","1,53%","-4,17%","-3,66%","-2,06%","R$ 760.757.277,02","R$ 54,37","1,18",N/A,N/A,N/A,N/A,"0,00%",N/A,1
VOTS11,Titulos e Val. Mob.,"R$ 85,99",1.0,"R$ 0,44","0,52%","1,31%","2,61%","4,98%","0,44%","0,43%","0,41%","1,31%","4,25%","4,79%","5,61%","R$ 81.930.949,73","R$ 98,96","0,87",N/A,N/A,N/A,N/A,N/A,N/A,0
